example_id                                                       | status | run_time        |
---------------------------------------------------------------- | ------ | --------------- |
./spec/jobs/exchange_rate_sync_job_spec.rb[1:1:1]                | passed | 0.82906 seconds |
./spec/jobs/exchange_rate_sync_job_spec.rb[1:1:2]                | passed | 0.32043 seconds |
./spec/jobs/import_market_data_job_spec.rb[1:1:1]                | failed | 4.82 seconds    |
./spec/jobs/security_health_check_job_spec.rb[1:1:1]             | failed | 0.8302 seconds  |
./spec/jobs/security_health_check_job_spec.rb[1:1:2]             | failed | 0.5702 seconds  |
./spec/models/budget_category_spec.rb[1:1:1]                     | passed | 1.57 seconds    |
./spec/models/budget_category_spec.rb[1:1:2]                     | failed | 0.57052 seconds |
./spec/models/budget_category_spec.rb[1:2:1]                     | passed | 0.50049 seconds |
./spec/models/budget_category_spec.rb[1:2:2]                     | passed | 0.79939 seconds |
./spec/models/budget_category_spec.rb[1:2:3]                     | passed | 0.36249 seconds |
./spec/models/budget_category_spec.rb[1:3:1]                     | failed | 0.32193 seconds |
./spec/models/budget_category_spec.rb[1:3:2]                     | failed | 0.94925 seconds |
./spec/models/budget_spec.rb[1:1:1]                              | passed | 0.90532 seconds |
./spec/models/budget_spec.rb[1:2:1]                              | passed | 0.32659 seconds |
./spec/models/budget_spec.rb[1:2:2]                              | passed | 0.56979 seconds |
./spec/models/budget_spec.rb[1:2:3]                              | passed | 1.59 seconds    |
./spec/models/budget_spec.rb[1:3:1]                              | failed | 0.57804 seconds |
./spec/models/currency_spec.rb[1:1:1]                            | passed | 1.76 seconds    |
./spec/models/currency_spec.rb[1:1:2]                            | passed | 1.16 seconds    |
./spec/models/currency_spec.rb[1:1:3]                            | passed | 0.99564 seconds |
./spec/models/currency_spec.rb[1:2:1]                            | passed | 0.32305 seconds |
./spec/models/currency_spec.rb[1:2:2]                            | passed | 0.32581 seconds |
./spec/models/currency_spec.rb[1:2:3]                            | passed | 0.57904 seconds |
./spec/models/currency_spec.rb[1:2:4]                            | passed | 3.84 seconds    |
./spec/models/currency_spec.rb[1:2:5]                            | passed | 0.57514 seconds |
./spec/models/debt_payoff_spec.rb[1:1]                           | passed | 0.496 seconds   |
./spec/models/debt_payoff_spec.rb[1:2]                           | passed | 0.58009 seconds |
./spec/models/debt_payoff_spec.rb[1:3:1]                         | failed | 1.08 seconds    |
./spec/models/debt_payoff_spec.rb[1:3:2]                         | failed | 0.57022 seconds |
./spec/models/debt_payoff_spec.rb[1:3:3]                         | failed | 0.57202 seconds |
./spec/models/debt_payoff_spec.rb[1:3:4]                         | failed | 0.57172 seconds |
./spec/models/debt_payoff_spec.rb[1:4:1]                         | failed | 0.81832 seconds |
./spec/models/debt_spec.rb[1:1:1]                                | failed | 0.57241 seconds |
./spec/models/debt_spec.rb[1:1:2]                                | failed | 0.66148 seconds |
./spec/models/debt_spec.rb[1:2:1]                                | failed | 0.3201 seconds  |
./spec/models/dividend_sip_spec.rb[1:1]                          | passed | 1.17 seconds    |
./spec/models/dividend_sip_spec.rb[1:2]                          | passed | 0.3239 seconds  |
./spec/models/dividend_sip_spec.rb[1:3:1]                        | failed | 1.07 seconds    |
./spec/models/dividend_sip_spec.rb[1:3:2]                        | failed | 0.83108 seconds |
./spec/models/dividend_sip_spec.rb[1:4:1]                        | failed | 0.81613 seconds |
./spec/models/dividend_sip_spec.rb[1:5:1]                        | failed | 0.32413 seconds |
./spec/models/dividend_sip_spec.rb[1:5:2]                        | failed | 1.09 seconds    |
./spec/models/dividend_sip_spec.rb[1:5:3]                        | failed | 0.66499 seconds |
./spec/models/exchange_rate_spec.rb[1:1:1]                       | passed | 0.68609 seconds |
./spec/models/exchange_rate_spec.rb[1:1:2]                       | passed | 1.16 seconds    |
./spec/models/exchange_rate_spec.rb[1:1:3]                       | passed | 1.34 seconds    |
./spec/models/exchange_rate_spec.rb[1:1:4]                       | passed | 0.65241 seconds |
./spec/models/exchange_rate_spec.rb[1:1:5]                       | passed | 0.86416 seconds |
./spec/models/exchange_rate_spec.rb[1:2:1]                       | passed | 2.16 seconds    |
./spec/models/exchange_rate_spec.rb[1:2:2]                       | passed | 1.4 seconds     |
./spec/models/exchange_rate_spec.rb[1:2:3]                       | passed | 1.48 seconds    |
./spec/models/exchange_rate_spec.rb[1:2:4]                       | passed | 1.3 seconds     |
./spec/models/exchange_rate_spec.rb[1:3:1]                       | passed | 1.94 seconds    |
./spec/models/exchange_rate_spec.rb[1:3:2]                       | passed | 1.16 seconds    |
./spec/models/exchange_rate_spec.rb[1:3:3]                       | passed | 1.35 seconds    |
./spec/models/household_spec.rb[1:1:1]                           | passed | 0.32014 seconds |
./spec/models/household_spec.rb[1:2:1]                           | passed | 0.65457 seconds |
./spec/models/household_spec.rb[1:2:2]                           | passed | 0.83487 seconds |
./spec/models/household_spec.rb[1:2:3]                           | passed | 1.07 seconds    |
./spec/models/household_spec.rb[1:2:4]                           | passed | 0.56892 seconds |
./spec/models/household_spec.rb[1:3:1]                           | failed | 0.55996 seconds |
./spec/models/household_spec.rb[1:4:1]                           | failed | 1.33 seconds    |
./spec/models/investment_spec.rb[1:1:1]                          | passed | 0.82504 seconds |
./spec/models/investment_spec.rb[1:2:1]                          | passed | 0.79979 seconds |
./spec/models/journey_spec.rb[1:1:1]                             | failed | 0.3502 seconds  |
./spec/models/journey_spec.rb[1:1:2]                             | failed | 0.64884 seconds |
./spec/models/journey_spec.rb[1:2:1]                             | failed | 0.48323 seconds |
./spec/models/journey_spec.rb[1:3:1]                             | failed | 0.39996 seconds |
./spec/models/notification_spec.rb[1:1:1]                        | failed | 1.75 seconds    |
./spec/models/notification_spec.rb[1:2:1]                        | failed | 0.5679 seconds  |
./spec/models/notification_spec.rb[1:2:2]                        | failed | 0.81532 seconds |
./spec/models/notification_spec.rb[1:3:1:1]                      | failed | 0.56763 seconds |
./spec/models/notification_spec.rb[1:3:2:1]                      | failed | 0.82862 seconds |
./spec/models/notification_spec.rb[1:4:1]                        | failed | 0.81974 seconds |
./spec/models/portfolio_spec.rb[1:1]                             | passed | 1.32 seconds    |
./spec/models/portfolio_spec.rb[1:2]                             | passed | 1.09 seconds    |
./spec/models/portfolio_spec.rb[1:3:1]                           | failed | 1.08 seconds    |
./spec/models/portfolio_spec.rb[1:4:1]                           | failed | 0.31972 seconds |
./spec/models/portfolio_spec.rb[1:4:2]                           | failed | 0.81719 seconds |
./spec/models/portfolio_spec.rb[1:4:3]                           | failed | 0.57757 seconds |
./spec/models/portfolio_spec.rb[1:4:4]                           | failed | 1.32 seconds    |
./spec/models/recurring_expense_spec.rb[1:1]                     | passed | 1.66 seconds    |
./spec/models/recurring_expense_spec.rb[1:2]                     | passed | 0.63469 seconds |
./spec/models/recurring_expense_spec.rb[1:3:1]                   | failed | 0.3198 seconds  |
./spec/models/recurring_expense_spec.rb[1:3:2]                   | failed | 1.56 seconds    |
./spec/models/recurring_expense_spec.rb[1:3:3]                   | failed | 2.61 seconds    |
./spec/models/recurring_expense_spec.rb[1:3:4]                   | failed | 0.63669 seconds |
./spec/models/recurring_expense_spec.rb[1:4:1]                   | failed | 0.40805 seconds |
./spec/models/recurring_expense_spec.rb[1:4:2]                   | failed | 0.40033 seconds |
./spec/models/recurring_expense_spec.rb[1:4:3]                   | failed | 0.6284 seconds  |
./spec/models/recurring_expense_spec.rb[1:4:4]                   | failed | 0.37186 seconds |
./spec/models/transaction_spec.rb[1:1:1]                         | passed | 0.3229 seconds  |
./spec/models/transaction_spec.rb[1:1:2]                         | passed | 0.81987 seconds |
./spec/models/transaction_spec.rb[1:1:3]                         | passed | 0.57613 seconds |
./spec/models/transaction_spec.rb[1:1:4]                         | passed | 0.57786 seconds |
./spec/models/transaction_spec.rb[1:2:1]                         | passed | 0.56637 seconds |
./spec/models/transaction_spec.rb[1:2:2]                         | passed | 0.6796 seconds  |
./spec/models/transaction_spec.rb[1:2:3]                         | passed | 0.57016 seconds |
./spec/models/transaction_spec.rb[1:3:1]                         | failed | 0.3205 seconds  |
./spec/models/transaction_spec.rb[1:4:1]                         | failed | 0.32049 seconds |
./spec/models/user_spec.rb[1:1:1]                                | failed | 0.31985 seconds |
./spec/models/user_spec.rb[1:1:2]                                | failed | 0.57248 seconds |
./spec/models/user_spec.rb[1:1:3]                                | failed | 0.32159 seconds |
./spec/models/user_spec.rb[1:2:1]                                | passed | 1.15 seconds    |
./spec/models/user_spec.rb[1:2:2]                                | passed | 0.65515 seconds |
./spec/models/user_spec.rb[1:2:3]                                | passed | 1.82 seconds    |
./spec/models/user_spec.rb[1:2:4]                                | passed | 0.4064 seconds  |
./spec/models/user_spec.rb[1:3:1]                                | failed | 0.57175 seconds |
./spec/requests/api/v1/exports_spec.rb[1:1:1]                    | failed | 0.31876 seconds |
./spec/requests/api/v1/exports_spec.rb[1:1:2]                    | failed | 0.82145 seconds |
./spec/requests/api/v1/exports_spec.rb[1:2:1]                    | failed | 1.07 seconds    |
./spec/requests/api/v1/exports_spec.rb[1:3:1]                    | failed | 0.32028 seconds |
./spec/requests/api/v1/exports_spec.rb[1:4:1]                    | failed | 0.57284 seconds |
./spec/requests/api/v1/households_spec.rb[1:1:1]                 | failed | 0.32081 seconds |
./spec/requests/api/v1/households_spec.rb[1:1:2]                 | failed | 0.31802 seconds |
./spec/requests/api/v1/households_spec.rb[1:2:1]                 | failed | 1.06 seconds    |
./spec/requests/api/v1/households_spec.rb[1:3:1]                 | failed | 0.57006 seconds |
./spec/requests/api/v1/households_spec.rb[1:3:2]                 | failed | 0.82511 seconds |
./spec/requests/api/v1/households_spec.rb[1:4:1]                 | failed | 0.81783 seconds |
./spec/requests/api/v1/households_spec.rb[1:5:1]                 | failed | 0.56915 seconds |
./spec/requests/api/v1/reports_spec.rb[1:1:1]                    | failed | 0.81944 seconds |
./spec/requests/api/v1/reports_spec.rb[1:2:1]                    | failed | 0.32253 seconds |
./spec/requests/api/v1/reports_spec.rb[1:3:1]                    | failed | 1.33 seconds    |
./spec/requests/api/v1/reports_spec.rb[1:4:1]                    | failed | 0.57081 seconds |
./spec/requests/api/v1/transactions_spec.rb[1:1:1]               | failed | 0.31969 seconds |
./spec/requests/api/v1/transactions_spec.rb[1:1:2]               | failed | 0.31725 seconds |
./spec/requests/api/v1/transactions_spec.rb[1:2:1]               | failed | 1.08 seconds    |
